brand,processor_brand,processor_name,ram_gb,ram_type,ssd_gb,hdd_gb,os,os_bit,graphic_card_gb,weight,warranty_years,Touchscreen,msoffice,Price_USD,rating_stars,Number of Ratings,Number of Reviews,,,
Asus,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,503.88,3,0,0,,,
Lenovo,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,1,Yes,No,659.88,4,245,34,,,
Asus,Intel,Core i3,8,DDR4,512,0,Windows,64,0,Casual,1,No,Yes,539.88,4,2058,305,,,
HP,Intel,Core i3,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,495,4,117,11,,,
HP,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,0,No,No,539.88,3,0,0,,,
Asus,Intel,Core i3,8,DDR4,512,0,Windows,64,0,Casual,1,No,No,515.88,4,74,11,,,
Dell,Intel,Core i3,8,DDR4,512,0,Windows,64,0,Casual,1,Yes,No,729.48,4,10,1,,,
HP,Intel,Core i3,8,DDR4,512,0,Windows,64,0,Casual,0,No,No,547.8,4,39,4,,,
Dell,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,503.88,3,29,7,,,
Dell,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,No,545.88,4,43,4,,,
Asus,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,539.88,3,0,0,,,
Lenovo,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,2,No,Yes,515.88,4,984,99,,,
HP,Intel,Core i3,4,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,545.88,4,523,66,,,
HP,Intel,Core i3,4,DDR4,512,0,Windows,32,0,Casual,0,No,No,465.59,4,30,1,,,
HP,Intel,Core i3,4,DDR4,512,0,Windows,64,0,Casual,1,Yes,Yes,831.2,3,0,0,,,
Asus,Intel,Core i3,4,DDR4,512,0,Windows,64,0,Casual,1,No,Yes,619.79,3,0,0,,,
HP,Intel,Core i3,4,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,575.88,4,1605,215,,,
Asus,Intel,Core i3,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,491.88,4,4008,519,,,
Asus,Intel,Core i3,4,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,515.88,4,1869,234,,,
Asus,Intel,Core i3,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,538.68,3,7,0,,,
Asus,Intel,Core i3,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,497.88,4,4008,519,,,
HP,Intel,Core i3,4,DDR4,512,0,Windows,32,0,ThinNlight,1,No,No,611.88,3,0,0,,,
HP,Intel,Core i3,4,DDR4,512,0,Windows,64,0,ThinNlight,1,No,Yes,586.8,4,1278,135,,,
Asus,Intel,Core i3,4,DDR4,512,0,Windows,64,0,Casual,1,No,No,491.88,4,4008,519,,,
Dell,Intel,Core i3,4,DDR4,512,0,Windows,64,0,Casual,0,No,No,501.48,3,0,0,,,
Lenovo,Intel,Core i3,4,DDR4,512,0,Windows,64,0,Casual,1,Yes,Yes,695.99,3,10,2,,,
Dell,Intel,Core i3,8,DDR4,512,0,Windows,64,0,ThinNlight,0,No,No,551.16,3,0,0,,,
HP,Intel,Core i3,8,DDR4,512,0,Windows,64,0,Casual,1,Yes,Yes,665.88,4,143,15,,,
Asus,Intel,Core i3,8,DDR4,0,1024,Windows,64,0,Casual,1,No,No,394.68,3,28,4,,,
Lenovo,Intel,Core i3,8,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,431.88,4,2124,233,,,
Dell,Intel,Core i3,8,DDR4,0,1024,Windows,64,0,ThinNlight,0,No,No,509.88,4,276,40,,,
Dell,Intel,Core i3,8,DDR4,0,1024,Windows,64,0,ThinNlight,0,No,No,506.28,3,250,21,,,
Dell,Intel,Core i3,8,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,473.88,4,1917,189,,,
HP,Intel,Core i3,8,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,524.28,4,4999,490,,,
Asus,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,Casual,1,No,No,431.88,3,17,0,,,
Dell,Intel,Core i3,8,DDR4,0,1024,Windows,32,0,Casual,0,No,No,525.6,4,17,0,,,
Lenovo,Intel,Core i3,8,DDR4,0,1024,Windows,32,0,Casual,0,No,No,467.88,3,0,0,,,
Asus,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,No,419.88,3,4203,490,,,
Asus,Intel,Core i3,8,DDR4,0,1024,Windows,64,0,Casual,1,No,No,466.8,3,13,0,,,
Dell,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,No,479.88,3,15,1,,,
Dell,Intel,Core i3,4,DDR4,0,1024,Windows,32,0,Casual,0,No,No,490.68,4,527,46,,,
Lenovo,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,No,443.88,3,103,10,,,
HP,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,479.88,3,324,45,,,
HP,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,503.88,4,69,5,,,
Dell,Intel,Core i3,4,DDR4,0,1024,Windows,32,0,Casual,0,No,No,527.64,3,16,0,,,
HP,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,No,477.48,3,40,3,,,
Asus,Intel,Core i3,4,DDR4,0,1024,Windows,32,0,ThinNlight,0,No,No,427.08,3,12,1,,,
HP,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,437.88,3,1146,175,,,
Asus,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,467.88,4,1850,216,,,
Asus,Intel,Core i3,4,DDR4,0,1024,Windows,32,0,ThinNlight,0,No,No,407.88,3,43,7,,,
Dell,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,Casual,1,No,Yes,520.8,4,231,26,,,
Asus,Intel,Celeron Dual,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,299.88,4,502,93,,,
